openalex,study,year,arm,cell,setting,exposure,outcome,OUTCOME_LEVEL,estimate,estimator_class,identified,TEMPO_OR_QUANTUM,SETTING_FINANCE_DEPTH,CONSTRAINT_MEASURED,source,extracted_by,extracted_on,note
W2119295186,Fertility choice and financial development,2014,composite,PRIMARY_COMPOSITE_ACCESS,145 countries 1980-2006,private credit / GDP (+1 SD),total fertility / net reproduction rate,realized,"LOW-INCOME: -1.7% to -5%; HIGH-INCOME: +3.7% to +5%",aggregate_panel_uncorrected,NO,quantum,"private credit/GDP 0.13->0.31 LDC; 0.39->1.14 high-income",assumed,full text p.,Shravan/Claude,2026-09-01,"THE SIGN FLIP MEASURED DIRECTLY - the exact question Ruling 1 said makes this one chapter. But NOT identified: cross-country aggregate panel, endogeneity tested for GDP and FLFP only, no instrument for credit. Secondary pool per the scope memo's rule on aggregate designs."
W1601642119,Fertility and Financial Development: US Counties in the 19th Century,2014,S,PRIMARY_SAVE_INSURE,Northeastern US counties c.1850,presence of a bank in the county,child-woman ratio,realized,-3 percentage points (OLS),cross_section_OLS_uncorrected,NO,quantum,"antebellum US; banking intensity measured 1840/1850/1860",assumed,full text,Shravan/Claude,2026-09-01,"FDT-era Arm S estimate. Authors read it as support for the old-age-security motive - which is C.3.c's motive under Wall 1, so the ROUTING of this study needs the PI ruling. Associational: OLS on a county cross-section."
W1601642119,Fertility and Financial Development: US Counties in the 19th Century,2014,S,PRIMARY_SAVE_INSURE,Northeastern US counties c.1850,presence of a bank in the county,crude birth rate,realized,-5% (0.25 -> 0.24),cross_section_OLS_uncorrected,NO,quantum,as above,assumed,full text,Shravan/Claude,2026-09-01,"Second outcome from the same study; do not treat as an independent estimate."
W4313814222,The impact of access to credit and capital markets on fertility: China,2023,composite,PRIMARY_COMPOSITE_ACCESS,China,basic endowment insurance / credit constraints,fertility,realized,"sign only: crowding-out effect of pension increase on fertility WHEN credit constraints bind",theory_plus_empirical_uncorrected,NO,unclear,"China; TFR 2.65 -> 1.3 over the window",modelled,full text eq.(7),Shravan/Claude,2026-09-01,"Interaction claim rather than a level effect: the pension crowd-out operates ONLY where credit constraints bind. If it survives a full read this is the clearest statement of the Arm S / C.3.c interaction in the pool."
W2995686300,"Rainfall risk, fertility and development: American demographic transition",2019,S,PRIMARY_SAVE_INSURE,US farm counties c.1900-1940,rainfall variability INTERACTED WITH access to financial services (banks per county / banks per farm),fertility differential farm vs non-farm,realized,"interaction negative in sign but economically small and statistically INSIGNIFICANT",panel_FE,NO,quantum,"banks per county, time-varying; irrigation and machinery also measured",proxy_for_instrument_access,"Table 4 cols (5)-(6)",Shravan/Claude,2026-09-01,"THE ARM S ESTIMATE IN THIS PAPER. An UNINFORMATIVE null, not a precise zero: the author writes it is 'hard to say whether financial services could not or were not used for risk coping or whether the available measures of access to financial services are simply too crude'. Record it as imprecise, not as evidence of no effect. NOTE the contrast within the same table: the irrigation and machinery interactions DO attenuate the buffer effect, so risk-mitigating TECHNOLOGY works where the financial-access measure does not."
W4214485069,Do credit supply shocks affect fertility choices?,2022,B,PRIMARY_BORROW_TERMS,"United States, 1983-1990 and 2007-2009",US banking deregulation of the 1980s (staggered state adoption),fertility rate,realized,+5.4% (deregulation),quasi_experimental_other,YES,quantum,"US high-income; state-level bank lending",policy_discontinuity,"s.3 empirical results",Shravan/Claude,2026-09-01,"THE CHAPTER'S FIRST IDENTIFIED ESTIMATE. Exogenous variation in the TIMING of state banking deregulation. Sign POSITIVE: more credit supply, more fertility - Arm B's predicted direction."
W4214485069,Do credit supply shocks affect fertility choices?,2022,B,PRIMARY_BORROW_TERMS,"United States, Great Recession",doubling of household credit at state level (Bartik IV on pre-recession bank share),propensity to give birth in the next year,realized,"+9.5 pp on a 7.7 pp base (7.7 -> 17.2 pp)",IV,YES,quantum,"US high-income",policy_discontinuity,"Table 2 col 1",Shravan/Claude,2026-09-01,"Second identified design in the same paper, different shock. A one-SD increase in credit = 0.121 SD increase in the propensity to give birth; a 32% increase in credit = +3.2 pp. Stronger for young women and for families with unemployed husbands."
W2514518411,The Babies of Mortgage Market Deregulation (a.k.a. The Babies of Financial Deregulation),2020,B,PRIMARY_BORROW_TERMS,United States,"mortgage market deregulation - a US federal regulator ruling creating geographic heterogeneity in access to mortgage credit",probability of having a child,realized,+6 percentage points (fully-exposed young households),quasi_experimental_other,YES,quantum,US high-income,policy_discontinuity,abstract and s.1,Shravan/Claude,2026-09-01,"SECOND IDENTIFIED ESTIMATE. ONE STUDY IN THREE VERSIONS: 'The Babies of Financial Deregulation' (SSRN 2016), this SSRN working paper (2020) and the RFS article - all Isaac Hacamo, same regulator-ruling design. Do not count more than once. Author's supplemental tests REJECT income and housing-wealth channels and point to ACCESS TO SPACE as the mechanism - which sits on the C.2.c boundary (space is a housing attribute) even though the varying object is credit. Sign POSITIVE, Arm B's direction."
W7154967232,Do Mortgage Interest Subsidies Affect Fertility and Housing Purchase Decisions?,2026,B,PRIMARY_BORROW_TERMS,Taiwan,preferential mortgage rates / mortgage interest deduction scheme,"fertility; probability of home purchase",realized,"NO effect on fertility (first stage verified: mortgage burden -7.9%, and -17.6% outside the most expensive cities)",DiD_matching,YES,quantum,Taiwan high-income aging society,policy_discontinuity,ABSTRACT (full text on the residual retrieval list),Shravan/Claude,2026-09-01,"THIRD IDENTIFIED ARM B ESTIMATE AND THE FIRST IDENTIFIED NULL. It is an INFORMATIVE null - the policy demonstrably cut mortgage burden by 7.9%, so the zero on fertility is not a failed first stage. Contrast with the two positive identified estimates: those are credit-SUPPLY/access shocks (extensive margin - can you borrow), this is a COST reduction for people already borrowing (intensive margin). That distinction may be the reconciliation. Numbers are abstract-sourced."
W4417408273,"Credit Availability, Intergenerational Interactions and Family Fertility Decisions",2025,B,PRIMARY_BORROW_TERMS,China,household credit accessibility,fertility rate,realized,"INVERTED-U: credit expansion raises fertility up to a point, then lowers it; marginal effect heterogeneous in household structure",IV,YES,quantum,China middle-income,assumed,ABSTRACT (full text on the residual retrieval list),Shravan/Claude,2026-09-01,"Fixed-effects Poisson + IV on China Family Panel Studies 2018-2022. A WITHIN-SETTING nonlinearity, distinct from the cross-setting sign flip in the aggregate panel - but the same theme: the sign of the credit effect depends on where on the curve a setting sits. Also reports bequests raising fertility INTENTIONS via liquidity and educational investment suppressing fertility via quantity-quality - different OUTCOME_LEVEL, record separately at full text. Numbers are abstract-sourced."
W2039710642,"Microcredit, Family Planning Programs, and Contraceptive Behavior: Evidence from a Field Experiment in Ethiopia",2011,composite,PRIMARY_COMPOSITE_ACCESS,"rural Ethiopia (Amhara and Oromia)","randomised allocation of administrative areas to credit+FP / CREDIT ONLY / FP only / control",number of births in the previous three years,realized,"all estimates negative, magnitude always small, -0.106 to -0.166; some statistically significant",RCT,YES,quantum,"rural Ethiopia, low-income; formal finance thin",policy_discontinuity,"full text, results section",Shravan/Claude,2026-09-01,"THE CHAPTER'S ONLY RANDOMISED ESTIMATE and the credit arm is SEPARATELY randomised. Context that matters for reading the null: fertility ROSE in the study area over the period - TFR 5.5 to 6.0 births and births in the last 3 years 0.51 to 0.55, both significant - and the authors say the rise in contraceptive use 'does not appear to have had much effect on fertility'. Those are sample-wide time trends, NOT treatment effects; do not confuse them."
W2039710642,"Microcredit, Family Planning Programs, and Contraceptive Behavior: Evidence from a Field Experiment in Ethiopia",2011,composite,PRIMARY_COMPOSITE_ACCESS,"rural Ethiopia (Oromia)","randomised credit arm",desired family size,desired,"+0.38 to +0.40 (significant at 5%)",RCT,YES,quantum,as above,policy_discontinuity,"full text, results section",Shravan/Claude,2026-09-01,"OPPOSITE SIGN TO THE REALIZED OUTCOME IN THE SAME EXPERIMENT. Authors: 'consistent with microcredit leading to an increase in the demand for children.' This single study is why OUTCOME_LEVEL is load-bearing for the chapter - a synthesis pooling realized and desired here would average a null against a positive."
W3125880351,Do Microfinance Programs Change Fertility? Evidence Using Panel Data from Bangladesh,2012,composite,PRIMARY_COMPOSITE_ACCESS,Bangladesh,microfinance programme participation / access,recent fertility (birth in the last 5 years),realized,"coefficient -0.14, t = -1.54, NOT significant (p = 0.17); prospective fertility p = 0.29",DiD,NO,quantum,"Bangladesh, low-income",self_reported,"full text, table 6",Shravan/Claude,2026-09-01,"Negative point estimate, not significant, on both recent and prospective fertility. Context: the sample's own probability of a birth in the last 5 years fell 0.55 to 0.48 between rounds, so a time trend runs alongside. Author's stated conclusion is no significant fertility effect of participation or access."
W4385666598,The role of digital financial inclusion in increasing fertility intentions: evidence from China,2023,composite,PRIMARY_COMPOSITE_ACCESS,China,"provincial digital financial inclusion index (+1%)",fertility intentions,intention,+0.136%,IV,NO,quantum,"China middle-income",assumed,"full text",Shravan/Claude,2026-09-01,"INTENTION outcome, positive - consistent with the desires arm of Desai and Tarozzi and inconsistent with the realized nulls. Instrumented but the instrument is not a policy shock; recorded identified: NO pending a closer read of the first stage."
