study,id,doi,venue,year,cell,config,config_basis,setting,n,arrangement_measure,source_of_variation,anticipation_control,outcome_level,tempo_or_quantum,estimator_class,estimate,ci,direction,full_text,evidence,note
Nguyen & Duong 2026,W7151883327,10.4054/DemRes.2026.54.22,Demographic Research,2026,PRIMARY_EXTENDED_COUPLE,EXTENDED_COUPLE,sample restriction — households observed with and without a co-resident grandparent,Vietnam (VARHS panel),"panel, multiple waves",presence of grandparent(s) in the household,panel variation within household,household fixed effects,realized births,quantum (number of children born),corrected_for_time_invariant_unobservables,+0.137 children,0.0824 to 0.1922,positive,True,"the presence of grandparent(s) in a household has a positive impact on the number of children born (particularly when both grandparents are present), with estimates ranging from 0.0771 (95% CI: 0.0175 to 0.1368) for both grandparents to 0.1373 (95% CI: 0.0824 to 0.1922) overall","Fixed effects remove time-invariant household unobservables. They do NOT address the anticipation problem in scope §3: a household that expects a birth may take a grandparent in. The paper runs a lead model for reverse causation, which is the right instinct and is not an exclusion restriction."
Du et al. 2023,W4353018187,10.1098/rspb.2023.0159,Proceedings of the Royal Society B,2023,PRIMARY_EXTENDED_COUPLE,EXTENDED_COUPLE,post-marital residence recorded directly,"Mosuo and neighbouring populations, SW China (matrilineal)",not extracted,post-marital residence: own parents / husband's parents / both / neither,cross-section only,none,realized births,tempo (age at first birth),uncorrected,HR 1.306 (own parents only vs husband's parents only); HR 1.746 (both sets),not extracted,positive (earlier first birth),True,"women who resided with their own parents only had earlier AFB than those living with only their husband's parents (HR = 1.306), while those living with both sets of parents had still earlier births (HR = 1.746)","THE DIRECTION OF THE CONTRAST IS WITHIN THE EXTENDED CELL, not extended versus independent. It says whose parents matter, which is Amendment 2's point, and it cannot be read as an effect of co-residence itself."
"Chu, Xie & Yu 2014",W2099331743,10.1007/s13524-013-0244-y,Demography,2014,PRIMARY_EXTENDED_COUPLE,EXTENDED_COUPLE,sample restriction — married women co-residing with husband's parents,"Taiwan, women born 1933-1968","Taiwan Panel Study of Family Dynamics; older cohort 1933-1954, younger 1955-1968",co-residence with husband's parents (binary),cross-section with a structural correction,co-residence and labour supply treated as ENDOGENOUS; full-information maximum likelihood duration model with endogenous binary variables,realized births,tempo (duration to first birth),corrected_for_endogeneity,"CORRECTED (FIML, both decisions endogenous): duration to first birth LONGER among co-residing women by 16.2% (coef 0.150), about 4.6 months, older cohort; and by 102.6% (coef 0.706), about 30.6 months, younger cohort. UNCORRECTED (same data, same paper): younger cohort duration 18.9% SHORTER (coef -0.209), about 5.6 months EARLIER; older cohort not significant.",see Tables 4 and 5,negative (delay) once corrected; positive (acceleration) uncorrected,True,"the duration to first birth is longer among coresiding women by 16.2 % (= e0.150 - 1), or 4.6 months, for the older cohort and by 102.6 % (= e0.706 - 1), or 30.6 months, for the younger cohort","RETRIEVED BY HAND 2026-08-28, AND THE MAGNITUDE IS LARGER THAN THE REVERSAL. The correction does not merely flip the sign: it moves the younger-cohort estimate from 5.6 months EARLIER to 30.6 months LATER, a swing of about three years in the timing of a first birth. The identification is a full-information maximum likelihood duration model with two endogenous binary decisions, excluding the husband's age at marriage from the duration equation; the authors report that excluded variable has substantial explanatory power in the co-residence equation. The bias direction is derived rather than asserted: traditional women both co-reside and give birth earlier, so a positive correlation between the two equations' unobservables biases the uncorrected estimate toward a shorter duration. This is the chapter's single most informative estimate."
"Ustyuzhanin, Zinkina & Korotayev",W4416112024,,working paper,2025,PRIMARY_EXTENDED_COUPLE,UNSPLIT,"none — the unit is a society, not a household",cross-cultural / cross-national,"cross-sectional, societies",prevalence of extended family structures in the society,"historical crop suitability -> ancestral plough adoption, as an instrument",instrumental variables (2SLS),realized births,quantum,iv_ecological,+1.07 children per woman per SD of extended-family prevalence,not extracted,positive,True,A one standard-deviation increase in prevalence of extended families is associated with approximately 1.07 additional children per woman.,"EXCLUDED FROM EVERY POOL, AND THE REASON IS THE SCOPE'S OWN WALL 3. The unit of observation is a society and the variation is cross-cultural, which is what Wall 3 rules out: societies with and without ancestral plough agriculture differ on everything the plough literature itself documents -- female labour force participation, gender norms, inheritance. The exclusion restriction requires plough adoption to affect fertility ONLY through family structure, and the adjacent literature is largely about the other channels. The magnitude, more than a full child per standard deviation, is on its own a reason to distrust it. Recorded rather than dropped, because a reader who finds it will want to know why it is not used."
Mulema 2025,W4412663412,10.22271/27067483.2025.v7.i7a.380,"Int. J. Geography, Geology and Environment",2025,PRIMARY_EXTENDED_COUPLE,EXTENDED_COUPLE,"sample split, nuclear versus extended households","Morogoro region, Tanzania","319 married women (234 nuclear, 85 extended)",household form: nuclear versus extended,cross-section only,none,realized births,quantum (mean children ever born),uncorrected,4.96 extended vs 4.65 nuclear; difference not significant,p > 0.2,null,True,"Nuclear and extended family households showed no significant difference in mean number of children (4.65 versus 4.96, p>0.2).","A NULL, and the only high-fertility-setting estimate in the cell. Small sample; the confidence interval is wide enough to contain the Vietnamese point estimate several times over."
"Hacker, Helgertz, Nelson & Roberts 2021",W3202049426,,Demography,2021,PRIMARY_PROXIMITY,EXTENDED_COUPLE,co-residence and proximity measured separately in linked census data,"United States, 1900-1910 linked census","3,173,297 couples linked; 2,047,694 in the net-reproduction models","kin co-resident in household, and surname-kin density nearby",cross-section only,none,realized births,"quantum (fertility, child survival, net reproduction)",uncorrected,co-resident mother IRR 0.951***; co-resident mother-in-law IRR 1.030***; nearby mother-in-law IRR 1.016***; adult surname-kin density IRR 1.283***,p<0.001 as marked,mixed — sign depends on WHICH kin,True,Mother coresident in household 0.951 *** ... Mother-in-law coresident in household 1.030 *** ... Nearby mother-in-law 1.016 *** ... Adult surname kin density 1.283 ***,"THE CLEANEST EVIDENCE IN THE CHAPTER THAT THE EXPOSURE IS NOT ONE VARIABLE. In the same 3.1-million-couple dataset, a co-resident MOTHER lowers fertility 4.9% and a co-resident MOTHER-IN-LAW raises it 3.0%. Any estimate that averages 'living with a parent' averages across that. It is also the chapter's only FDT-era evidence, and the kin-density coefficient dwarfs both co-residence terms."
"Nguyen, Dang, Buh & Buber-Ennser 2023",W4386401447,,Vienna Institute of Demography Working Papers 03/2023,2023,PRIMARY_EXTENDED_COUPLE,EXTENDED_COUPLE,sample restriction,Vietnam,not extracted,co-residing with parents / parents-in-law,cross-section only,none,stated intention,n/a,uncorrected,association with desire for a second child; no association with third-child desire,not extracted,positive,True,"Multivariate regressions reveal an association between coresiding with parents and the desire for a second child, regardless of the sex of the first child. Among women with two children, third-child desires do not appear to be associated with coresiding with parents.","Intentions. Pools only with intentions, per Ruling 4 stratum 2."
Aparicio-Fenoll & Oppedisano 2012/2014,W3124528217,10.1515/bejeap-2014-0003,IZA DP 6651; B.E. Journal of Economic Analysis & Policy,2014,MIXED_PRICE_ARRANGEMENT,PRE_LAUNCH,sample restriction — 21- and 22-year-olds,"Spain, 2008 rental subsidy",not extracted,emancipation (living apart from parents),difference-in-differences and regression discontinuity at the eligibility age threshold (22),policy discontinuity at an age cutoff,realized births,"tempo (probability of at least one child, young ages)",quasi_experimental,emancipation +0.9 to +2.3 pp; couple cohabitation +1.2 to +2.4 pp; probability of having children +4.8 to +8.1 pp (13-22% of the sample mean); no effect on marriage,not extracted,positive,True,"Difference-in-Differences and Regression Discontinuity estimates show that the policy increases emancipation rates by 0.9-2.3 percentage points, couple cohabitation by 1.2-2.4 percentage points, and the probability of having children by 4.8-8.1 percentage points for 22 year-olds compared to 21 year-olds.","THE CHAPTER'S BEST DESIGN AND IT HAS A SPECIFIC, SERIOUS FLAW: the fertility effect is estimated CONDITIONAL ON BEING EMANCIPATED, and emancipation is itself moved by the treatment. Conditioning on a post-treatment variable, in a design whose whole point is that the treatment causes emancipation. The unconditional fertility effect is the estimand the chapter wants, and it is not the one reported."
"Bulman, Goodman & Isen 2022",W4311207666,10.3386/w30743,NBER Working Paper 30743,2022,MIXED_PRICE_ARRANGEMENT,PRE_LAUNCH,young adults; not a co-residence measure,"United States, state lotteries, universe of tax data 2000-2019",administrative universe,homeownership and household formation (not co-residence directly),"lottery win, with future winners as an additional control group (triple difference)",randomised windfall; placebo pre-trends indistinguishable from zero,realized births,"BOTH, and that is the finding",quasi_experimental,"homeownership +5.59 pp per $100,000 at one year; total births at five years approximately zero, ruling out an increase above 0.01 children per $100,000",see paper,"tempo positive, quantum null",True,"One year after the lottery win, the effect of $100,000 is estimated to be 5.59 percentage points in the full sample ... Five years after the lottery win, the effect on total births is close to zero, and we can rule out an increase in the number of children of 0.01 per $100,000.","NOT A CO-RESIDENCE ESTIMATE, AND IT BOUNDS THE CHAPTER ANYWAY. The exposure is an unconditional cash windfall, so it belongs to the income hypothesis. What it establishes is that pure liquidity moves the TIMING of births and not their number -- which is exactly the reading scope section 7 says the A.23 verdict turns on, arriving from the cleanest identification in the packet."
Laeven & Popov 2016/2017,W3125671386,10.1111/jmcb.12408,"ECB WP 1910; Journal of Money, Credit and Banking",2017,MIXED_PRICE_ARRANGEMENT,PRE_LAUNCH,young households,"United States MSAs, housing boom 2001-2006",about 1.5 million US households in 2006,household formation,"regional house-price variation, instrumented by predetermined local industrial structure",instrumental variable,realized births,tempo (a birth in the past year),quasi_experimental,"Age 18-35 x change in 5-year house prices, 2006: had a child last year, 2SLS -0.0077 (SE 0.0050, p<0.10); OLS +0.0024 (SE 0.0030, not significant). Married, 2SLS -0.1140 (SE 0.0253). One standard deviation of house-price growth is 0.25, so one SD implies -0.19 percentage points on a 6% base (about -3.2% relative) for a birth, and -2.85 points on a 57% base for marriage. Young HOME OWNERS move the other way: Age 18-35 x Owner +0.0145.",standard errors in Table 9,negative for young non-owners; positive for young owners,True,"Age 18-35x 5-year house prices -0.0911*** -0.1140*** 0.0024 -0.0077* (0.0158) (0.0253) (0.0030) (0.0050) [Married OLS, Married 2SLS, Had a child OLS, Had a child 2SLS]","RETRIEVED BY HAND 2026-08-28. TWO FINDINGS, AND THE SECOND WAS NOT VISIBLE IN THE ABSTRACT. First, the fertility effect is identified and SMALL: about -3.2% of the baseline probability of a birth per standard deviation of house-price growth, against -5.0% for marriage. Second, THE OLS AND THE IV DISAGREE IN SIGN - OLS gives +0.0024 and not significant, 2SLS gives -0.0077 and significant. That is the same estimator problem as Chu, arriving in a different literature with a different correction. The effect is also TENURE-CONDITIONAL: young owners become MORE likely to have a child when prices rise, which is C.2.c's finding that the aggregate elasticity is not a transportable parameter, reproduced here on the household-formation margin."
